"","response_id","q_language","animal_type_8_text","org_budget_currency_5_text","org_advocacy_6_text","org_focus_6_text","advocacy_diet_4_text","advocacy_corporate_4_text","advocacy_policy_5_text","advocacy_inst_5_text","interest_diet_r2","interest_corp_r1","interest_corp_r2","interest_policy_r1","interest_policy_r2","interest_direct_r1","interest_direct_r2","interest_inst_r1","interest_inst_r2","corporate_dissatisfy","policy_dissatisfy","insti_dissatisfy","direct_dissatisfy","other_dissatisfy","participant_role_9_text"
"1","R_3PieAy5G3FkxPqi","ZH-T","遭走私的活體動物","","","","社群FB/IG宣導","","倡議蔬食加入法規","到其他以犬貓為主的NPO推廣","","","","","","","欠缺場地經費與人力","","","可以再更主動接觸新企業","本會成立才滿2年，相較其他成立20年的NPO，在政策推動無法與主力人士接觸，無從施力","","","",""
"2","R_1IKm3hFGVpvwsrF","PT-BR","","BRL","","","","","","","","","Não reciprocidade por parte do empresariado","","","","","","Restrições orçamentárias","","","","","",""
"3","R_20Pxy6YZq6NZIUf","ES-ES","","","","","","","","","","","","","","","","","","","","","","",""
"4","R_3g0B6qaaem0SIId","ES-ES","","","","","","","","","","","Por falta de tiempo","","Ya estoy siguiendo ese enfoque","","","","Ya estoy siguiendo ese enfoque","","","","","",""
"5","R_3oTjX4w48h2tzCG","ES-ES","","MXN","","","","","","","","Las empresas solo ven por el beneficio económico. Nuestro enfoque resultaría radical para muchas empresas, ya que probablemente sus ganancias se vean reducidas en un principio.","","","Se necesitan leyes y reformas para cambiar el estado actual de los animales. Si presionamos a los gobiernos, podemos ir alcanzando nuestros objetivos paso a paso.","","El activismo no solo es divulgación, también es acción directa. Se salvan animales dejando de comerlos, pero también rescatándolos de sus prisiones.","","","","","","","",""
"6","R_00dWnlpOTdmA1S9","JA","","日本円","動物が置かれる現状の調査","","","","","","","","リソース不足","","リソース不足","個人の動物への需要を減らす行動が日本では不足しているから。","","","リソース不足","","","","","",""
"7","R_3HzWzxEFmVaXyIp","ES-ES","","Peso mexicano","","","","","","","","Porque mi asociación está interesada en llevar campañas en diversos puntos. Y creo que no existen suficientes campañas que lleven el tema al área corporativa.","","","","","","","","","Debido a la pandemia por covid gran parte del trabajo hecho en el tema de campañas políticas disminuyó, sin embargo, estamos trabajando y retomando el trabajo en esa área.","Es un área de oportunidad que estamos atendiendo.","Debido a la pandemia el trabajo directo quedó suspendido sin embargo, estamos trabajando para retomar el tema.","",""
"8","R_2aY7tQkTnTsNgfA","PT-BR","","Real","","","","","","","","","Recurso","","Oportunidade","","","","Recursos","","","","Trabalho sozinha e não tem apoio. Minha estrutura é alugada, então sempre preciso me mudar com animais.","","Atualmente eu trabalho sozinha e moro com os animais"
"9","R_3sAn1FTzJNm7t13","ES-ES","","Pesos","","","","","","","","","Por que nos falta personal y presupuesto para ejercer presión a las empresas directamente, además de una estrategia dirigida a los corporativos","","El actual gobierno rechaza a las AC ppr lo que es dificil interactuar","","","","","","","Falta presupuesto para lograr diversificar las actividades","","",""
"10","R_Z8HqOfnv2lvu7Jv","ES-ES","Todos los animales","","reallizamos el evento vegano más potente de Hispanoamérica el VEGAN FEST ARGENTINA  que este año será su edición 18","","Participacion en atención de la prensa  gráfica, radio y televisiva y desarrollo de estrategias de difusión con celebridades y famosos que ayuden a visibilizar lo que les sucede a los animales y como esto además incide en el planeta y la salud.","","Legislación que impulsen las dietas a base de vegetales, que promuevan el veganismo desde las políticas de estado y que le den Derechos a todos los Animales. Asesoramiento a organismos del Gobierno","","","","Porque para terminar con la crueldad hacia los animales y el especismo, preferimos el enfoque abolicionista","","","","Por no tener los recursos que hacen falta para este tipo de acciones, pero nos encantaría y es un sueño tener un santuario donde poder albergar animales de todo tipo","","Para lograr el cambio y que el futuro sea vegano la EDUCACION es lo principal","","","","","","Coordinacion General"
"11","R_25WN4ygGaSYS9OH","JA","","円","","","","","","","","","","","","","","","活動をやめたから","","","","","",""
"12","R_33rvbblMrn7KPGO","ES-ES","","","","","Cursos, desafío de 21 días","","Adopción de menú vegano en escuelas, universidades, hospitales","","","","Por la misión de la organización que es la consideración moral de todos los animales.","","","","","","","","","","","",""
"13","R_Zsl9UEHHuq70q7T","ZH-S","","人民币","支持及鼓励民间组织和群体推进和宣传相关活动","","主题性的市集活动，年会，素食认证及与其他组织的共创活动","2023年1月推出经过国家政策认可的面向商业企业的素食认证体系","","","","","","","结合政策方向，从政策没有覆盖或不太完善的领域，进行关于我们组织所倡导主张的宣传，增加宣传影响力，并助力现有政策的完善","","我们组织的属性及目前规划，以及可利用资金和资源，还未发展到直接行动的阶段。","","目前的政策环境还不太适合","我们2023年一月推出素食认证，正好也面对后疫情经济缓慢恢复的大环境，因此对于企业的影响面和进度还在初期。需要结合各个领域的整合规划和推进一起推广。","","","","",""
"14","R_RUq5fUwGPr9qSmR","ID","","Rupiah","","","","","","","","","Lebih kepada Individu menurunkan demand","","","","","","Kareana institusi seperti sekolah adalah pusat pendidikan","","","","","",""
